epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4363,1.20475,2.03081,1.10541,0.08839,0.50692,0.25567,0.17768,1.04079,2.60062,0.96827,0.000648649,0.000648649,0.000648649
2,178.645,1.06921,0.88659,1.0574,0.77299,0.21688,0.25484,0.17635,1.06602,1.46743,1.02103,0.0011851,0.0011851,0.0011851
3,291.821,1.01577,0.79444,1.03066,0.7603,0.15557,0.19272,0.13913,1.00193,0.88909,1.0124,0.00158955,0.00158955,0.00158955
4,425.715,0.99677,0.75622,1.02435,0.85131,0.147,0.18657,0.14137,0.89191,0.69036,0.98076,0.001406,0.001406,0.001406
5,577.508,0.97582,0.70885,1.01038,0.78997,0.13184,0.17133,0.12807,0.8705,0.67478,0.96725,0.001208,0.001208,0.001208
6,725.296,0.93683,0.67374,0.99249,0.88737,0.12854,0.16993,0.13632,0.77733,0.6071,0.93116,0.00101,0.00101,0.00101
7,882.174,0.90707,0.6437,0.98758,0.89209,0.14832,0.18603,0.14892,0.75927,0.56801,0.92418,0.000812,0.000812,0.000812
8,1078.19,0.89272,0.61895,0.97778,0.87133,0.09822,0.14517,0.11334,0.79348,0.56572,0.93229,0.000614,0.000614,0.000614
9,1285.36,0.87118,0.59917,0.97098,0.886,0.09822,0.14295,0.11437,0.75847,0.54502,0.92612,0.000416,0.000416,0.000416
10,1491.66,0.8611,0.58872,0.95778,0.92287,0.09822,0.14272,0.11378,0.76165,0.53435,0.92296,0.000218,0.000218,0.000218
