epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4948,1.20695,2.03181,1.10638,0.09167,0.47132,0.22356,0.16002,0.99822,2.62258,0.96104,0.000648649,0.000648649,0.000648649
2,162.584,1.07138,0.88508,1.05724,0.81255,0.22002,0.25549,0.18057,1.02859,1.42147,0.99094,0.0011851,0.0011851,0.0011851
3,270.152,1.0185,0.79358,1.03299,0.7591,0.15623,0.19166,0.14003,0.99186,0.87611,0.99137,0.00158955,0.00158955,0.00158955
4,405.278,0.99675,0.75389,1.02584,0.81961,0.14634,0.18569,0.14183,0.88584,0.69008,0.97708,0.001406,0.001406,0.001406
5,553.882,0.96981,0.71002,1.00937,0.7559,0.12986,0.17097,0.12888,0.87374,0.69285,0.96573,0.001208,0.001208,0.001208
6,715.013,0.93456,0.6745,0.99342,0.87477,0.12788,0.16676,0.13271,0.79153,0.61069,0.93794,0.00101,0.00101,0.00101
7,880.243,0.91019,0.64572,0.98754,0.85186,0.11602,0.15601,0.12605,0.75989,0.57278,0.92323,0.000812,0.000812,0.000812
8,1107.3,0.8985,0.62285,0.97779,0.88177,0.1147,0.15577,0.12634,0.77744,0.56585,0.9291,0.000614,0.000614,0.000614
9,1316.12,0.86911,0.59916,0.96905,0.85851,0.07713,0.12099,0.09945,0.76008,0.54369,0.92476,0.000416,0.000416,0.000416
10,1531.84,0.85832,0.58872,0.95805,0.86035,0.07779,0.12075,0.09736,0.762,0.54369,0.92114,0.000218,0.000218,0.000218
